# pax-britannica state trace
# frames=12000 lua=Lua 5.4
# frame hash live_actors factory fighter bomber frigate laser bomb missile
36 8cb87de9e9b41b42 28 0 0 0 0 0 0 0
37 291d7e0b6f0f5ea5 28 0 0 0 0 0 0 0
38 ac1cbe09db8c7cdc 28 0 0 0 0 0 0 0
39 bad643b484dde38d 28 0 0 0 0 0 0 0
40 d488185f7119d176 29 0 0 0 0 0 0 0
41 1d825c520997264c 29 0 0 0 0 0 0 0
42 c075a8c1c177ba69 29 0 0 0 0 0 0 0
43 88bb9f2cd413f1df 29 0 0 0 0 0 0 0
44 e25613f70f3fd36a 29 0 0 0 0 0 0 0
45 aa450c1a6004440d 30 0 0 0 0 0 0 0
46 a1483d3488a28d2d 30 0 0 0 0 0 0 0
47 d5014372bced0607 31 0 0 0 0 0 0 0
48 ebc534b0a9c7c6d4 31 0 0 0 0 0 0 0
49 6a0f1fc1780e46b4 31 0 0 0 0 0 0 0
50 109afeaaeda7c2e3 32 0 0 0 0 0 0 0
51 75878defe0cbc482 32 0 0 0 0 0 0 0
52 4e1b952b9994d1f5 32 0 0 0 0 0 0 0
53 2cad5c3ecd8a3ced 32 0 0 0 0 0 0 0
54 8f974a6840796935 32 0 0 0 0 0 0 0
55 a5b0ff88c65fb276 32 0 0 0 0 0 0 0
56 6df1cac05057969e 32 0 0 0 0 0 0 0
57 30b7fb79f555b6df 32 0 0 0 0 0 0 0
58 41546b1b94f21f6f 32 0 0 0 0 0 0 0
59 2d7b4b6871531809 32 0 0 0 0 0 0 0
60 6d0950f3da224833 32 0 0 0 0 0 0 0
61 bce6b05a4b698d5d 32 0 0 0 0 0 0 0
62 2cacf89590ab5c24 32 0 0 0 0 0 0 0
63 85f4042833fbdb1d 33 0 0 0 0 0 0 0
64 2048077c36e7a4c7 33 0 0 0 0 0 0 0
65 04aeb5dff3826a45 33 0 0 0 0 0 0 0
66 25ae4d9a722185e4 33 0 0 0 0 0 0 0
67 80798c704fd5da02 33 0 0 0 0 0 0 0
68 c8f3350bc8095355 33 0 0 0 0 0 0 0
69 18e51075f20343c8 33 0 0 0 0 0 0 0
70 e3718546a796adea 33 0 0 0 0 0 0 0
71 563a0f31a6db2eea 35 0 0 0 0 0 0 0
72 e8de50977a72a3e9 35 0 0 0 0 0 0 0
73 d6ad9ee23e18003f 35 0 0 0 0 0 0 0
74 2e7f193ea81da5f5 35 0 0 0 0 0 0 0
75 5c5d7e6cb6bf897e 35 0 0 0 0 0 0 0
76 0a7fcaf2887ea93d 35 0 0 0 0 0 0 0
77 82c1981c45e2ca30 35 0 0 0 0 0 0 0
78 6cf6b098ae5637a9 36 0 0 0 0 0 0 0
79 7c026be808b88149 36 0 0 0 0 0 0 0
80 536a8de38d89513b 36 0 0 0 0 0 0 0
81 584471b52ae23bf0 37 0 0 0 0 0 0 0
82 080709eb3a909f78 37 0 0 0 0 0 0 0
83 0fc49a7be220f940 37 0 0 0 0 0 0 0
84 304e8d069aff8cc0 37 0 0 0 0 0 0 0
85 5a7bb8a8565b8d94 37 0 0 0 0 0 0 0
86 bd0191f8e9d439ad 37 0 0 0 0 0 0 0
87 436743b2b4adfde8 37 0 0 0 0 0 0 0
88 b9b95ffc18603253 37 0 0 0 0 0 0 0
89 b93716867a6a7ee7 37 0 0 0 0 0 0 0
90 07673d91828a31ec 37 0 0 0 0 0 0 0
91 5e0b252b04acc81f 37 0 0 0 0 0 0 0
92 387f50127536f0f0 37 0 0 0 0 0 0 0
93 706e70f64a875871 37 0 0 0 0 0 0 0
94 5a60274ce69e2182 38 0 0 0 0 0 0 0
95 40167a91177bfcfa 38 0 0 0 0 0 0 0
96 4cd98215549bcfb1 38 0 0 0 0 0 0 0
97 b5fd8b9ecf2be0b2 38 0 0 0 0 0 0 0
98 f09d679fa2af1b97 38 0 0 0 0 0 0 0
99 101fbed724d11440 38 0 0 0 0 0 0 0
100 b5fb7e43577e4dff 38 0 0 0 0 0 0 0
101 aca0f19347bb67ec 38 0 0 0 0 0 0 0
102 306740df29a369a6 38 0 0 0 0 0 0 0
103 db1a745d37527528 38 0 0 0 0 0 0 0
104 d032bab82272a46f 38 0 0 0 0 0 0 0
105 10c6aae3d2ae844b 38 0 0 0 0 0 0 0
106 7a2a3fec80d0c4eb 39 0 0 0 0 0 0 0
107 25f20824310b7d5d 40 0 0 0 0 0 0 0
108 90bd1995d63a08a2 40 0 0 0 0 0 0 0
109 879fccf94a4b7351 40 0 0 0 0 0 0 0
110 93e02f261f5d2e3b 40 0 0 0 0 0 0 0
111 f7326998de225f5f 41 0 0 0 0 0 0 0
112 052564ca709c9535 41 0 0 0 0 0 0 0
113 31d660b74ef7d27a 41 0 0 0 0 0 0 0
114 c3f23c30878ddbb4 42 0 0 0 0 0 0 0
115 e77e1248ceaf66f0 42 0 0 0 0 0 0 0
116 15f2180d4f707c6f 42 0 0 0 0 0 0 0
117 acca44398ecae62b 42 0 0 0 0 0 0 0
118 156827df0a4d83c4 42 0 0 0 0 0 0 0
119 91ca835ad4f0a79c 42 0 0 0 0 0 0 0
120 5751d1a6682a89fa 42 0 0 0 0 0 0 0
121 aea097adc5c2da3a 42 0 0 0 0 0 0 0
122 8f02185451da843b 43 0 0 0 0 0 0 0
123 48efe72a49395b0e 43 0 0 0 0 0 0 0
124 eac613fd4ee34f0d 43 0 0 0 0 0 0 0
125 2ba7459f27524906 43 0 0 0 0 0 0 0
126 2e17af41f2c0b24f 43 0 0 0 0 0 0 0
127 8b90316eb3d8714c 43 0 0 0 0 0 0 0
128 0e9da02ad7efec9f 43 0 0 0 0 0 0 0
129 cd1bf6434f4adc6d 43 0 0 0 0 0 0 0
130 c3380f69fb174417 43 0 0 0 0 0 0 0
131 dd2f2e23ae9c1959 43 0 0 0 0 0 0 0
132 9d3eb9b0959789a8 44 0 0 0 0 0 0 0
133 5e94ef14dcf26eec 45 0 0 0 0 0 0 0
134 ec37f48b6f8d6df8 45 0 0 0 0 0 0 0
135 0aa670a134d8f413 45 0 0 0 0 0 0 0
136 8b452d107f017385 46 0 0 0 0 0 0 0
137 2a35aa1a5bc10fb7 46 0 0 0 0 0 0 0
138 c4a28467463eb58a 46 0 0 0 0 0 0 0
139 6c08ea940396a9bb 46 0 0 0 0 0 0 0
140 64df225305068594 47 0 0 0 0 0 0 0
141 4e417c58b354af89 47 0 0 0 0 0 0 0
142 be5a91c7a717c6a3 47 0 0 0 0 0 0 0
143 4856bc04649a0e7b 47 0 0 0 0 0 0 0
144 a555c3c6a1a0b7ed 48 0 0 0 0 0 0 0
145 351bf4d03677d793 48 0 0 0 0 0 0 0
146 80747625ecb4bb3a 48 0 0 0 0 0 0 0
147 f4be0ec97e20f520 49 0 0 0 0 0 0 0
148 cca606d305eb6ef9 49 0 0 0 0 0 0 0
149 a1e517308487b475 49 0 0 0 0 0 0 0
150 1657d0b74594c6ab 49 0 0 0 0 0 0 0
151 5686dcbb409fd89a 49 0 0 0 0 0 0 0
152 d53fb367c66c7c07 49 0 0 0 0 0 0 0
153 940c401eb635493d 49 0 0 0 0 0 0 0
154 e724069d47126b21 50 0 0 0 0 0 0 0
155 015d8316a0020766 50 0 0 0 0 0 0 0
156 506fdbddee5c891a 51 0 0 0 0 0 0 0
157 a3ebcc26fac32d06 51 0 0 0 0 0 0 0
158 1d9389c901986cf6 52 0 0 0 0 0 0 0
159 48fbeb2bfdcde136 52 0 0 0 0 0 0 0
160 cfd36993c5c3fd5f 52 0 0 0 0 0 0 0
161 0a46602a8d178212 52 0 0 0 0 0 0 0
162 596fb81d87a9b1ba 52 0 0 0 0 0 0 0
163 87ce5a17137aa94d 53 0 0 0 0 0 0 0
164 21a509ca40f894b3 53 0 0 0 0 0 0 0
165 def1264a8da34464 53 0 0 0 0 0 0 0
166 e8b1b3343132a2e1 53 0 0 0 0 0 0 0
167 e5808e9df7a2b96c 53 0 0 0 0 0 0 0
168 47da15195ddc6bb0 53 0 0 0 0 0 0 0
169 836f8e84f8f1ae5f 53 0 0 0 0 0 0 0
170 03a588da2b79d12b 53 0 0 0 0 0 0 0
171 82a4959782b81a80 54 0 0 0 0 0 0 0
172 0541ae342424b9bb 54 0 0 0 0 0 0 0
173 74a54f90a5b89d31 54 0 0 0 0 0 0 0
174 77f77744474c2f46 54 0 0 0 0 0 0 0
175 0386ddd047114437 54 0 0 0 0 0 0 0
176 0bc8e841e070bde0 54 0 0 0 0 0 0 0
177 72c406a1505c0c7c 54 0 0 0 0 0 0 0
178 a086e4725b57ef90 54 0 0 0 0 0 0 0
179 689bf7aeb6d83015 54 0 0 0 0 0 0 0
180 4fffc6dd2fe4c96a 55 0 0 0 0 0 0 0
181 f250046e9a763850 55 0 0 0 0 0 0 0
182 c37b4fd0ff0fde65 56 0 0 0 0 0 0 0
183 a0359873381d9781 56 0 0 0 0 0 0 0
184 ce65ee24a8bafdbb 56 0 0 0 0 0 0 0
185 2b125b4d18b28979 56 0 0 0 0 0 0 0
186 bb463eac32b9e713 56 0 0 0 0 0 0 0
187 2b695894e100f280 56 0 0 0 0 0 0 0
188 bdcb0a22110a6a01 56 0 0 0 0 0 0 0
189 6e228e4ec15b7f57 56 0 0 0 0 0 0 0
190 8fb21d8846783d93 56 0 0 0 0 0 0 0
191 0bde87650974e96a 56 0 0 0 0 0 0 0
192 cb6bd9141dca201e 57 0 0 0 0 0 0 0
193 f5b4b93fff41dbea 58 0 0 0 0 0 0 0
194 35345c983d408b30 58 0 0 0 0 0 0 0
195 eed5f781f97d03aa 58 0 0 0 0 0 0 0
196 6f80e7769c0be786 58 0 0 0 0 0 0 0
197 ef64274575e6da41 58 0 0 0 0 0 0 0
198 21c5847a25f666e5 59 0 0 0 0 0 0 0
199 cd290df09d18e99c 59 0 0 0 0 0 0 0
200 a2d94b3b60006d76 60 0 0 0 0 0 0 0
201 05d52c7f991dda28 60 0 0 0 0 0 0 0
202 8b1d7f04f2efe371 60 0 0 0 0 0 0 0
203 08328e6d2c65e95f 60 0 0 0 0 0 0 0
204 b5dbca6e87eb8d5d 61 0 0 0 0 0 0 0
205 b1a42776123533eb 61 0 0 0 0 0 0 0
206 0902ab8bbad52753 61 0 0 0 0 0 0 0
207 6bda61817220ae8c 61 0 0 0 0 0 0 0
208 364fb17559be6a85 61 0 0 0 0 0 0 0
209 533be707be98c843 61 0 0 0 0 0 0 0
210 0985060dec4d83a0 61 0 0 0 0 0 0 0
211 8c258af4d0234887 62 0 0 0 0 0 0 0
212 f5e62dd1bff591a2 63 0 0 0 0 0 0 0
213 5cf8f21a7ed6fa95 63 0 0 0 0 0 0 0
214 cf94531b97ba87df 63 0 0 0 0 0 0 0
215 3b8b3908dfb7e85b 63 0 0 0 0 0 0 0
216 bb4c2fe65c6a4433 63 0 0 0 0 0 0 0
217 1c43ac1abd77e9b8 63 0 0 0 0 0 0 0
218 797cbd6834ae27d3 63 0 0 0 0 0 0 0
219 a981010a4fbcb1ee 63 0 0 0 0 0 0 0
220 d2587484f74b7d62 63 0 0 0 0 0 0 0
221 fd4eef62334c53e2 63 0 0 0 0 0 0 0
222 54cb22f3a5c52eee 63 0 0 0 0 0 0 0
223 57ac58af7cd47dbf 63 0 0 0 0 0 0 0
224 a3c5c5e7a763ff75 63 0 0 0 0 0 0 0
225 883e57dae54f8257 63 0 0 0 0 0 0 0
226 a91829f180c7ed9f 63 0 0 0 0 0 0 0
227 bb30635b70cbc219 63 0 0 0 0 0 0 0
228 8c13311722cba6f3 63 0 0 0 0 0 0 0
229 88a139d0e13356e8 63 0 0 0 0 0 0 0
230 a8288b29399ae8ec 63 0 0 0 0 0 0 0
231 6978498e7ed64d2c 63 0 0 0 0 0 0 0
232 d4101f8c3e98a5b2 63 0 0 0 0 0 0 0
233 8cc3c6a8e7d3f6d0 64 0 0 0 0 0 0 0
234 aa1956062c988493 64 0 0 0 0 0 0 0
235 834abc4bc525ea9a 64 0 0 0 0 0 0 0
236 7fd3b243ce86caca 65 0 0 0 0 0 0 0
237 561a6727c830c7d3 65 0 0 0 0 0 0 0
238 f883daa127382fad 65 0 0 0 0 0 0 0
239 56de1a4a33cf0bc5 65 0 0 0 0 0 0 0
240 df79c70f02da7d58 66 0 0 0 0 0 0 0
241 59b63d22f71d0c8e 66 0 0 0 0 0 0 0
242 db4c215523b05e2a 66 0 0 0 0 0 0 0
243 8dfda0bb7e092d1a 66 0 0 0 0 0 0 0
244 53546130c5466fa8 66 0 0 0 0 0 0 0
245 ceaebdddd5dadd02 67 0 0 0 0 0 0 0
246 64e96bfcb046331e 68 0 0 0 0 0 0 0
247 91d358302d7aee7c 69 0 0 0 0 0 0 0
248 6718351cd126d735 69 0 0 0 0 0 0 0
249 0c29a865d38f32c4 69 0 0 0 0 0 0 0
250 af3e144e218b356a 69 0 0 0 0 0 0 0
251 dfe5cfce2c644a60 69 0 0 0 0 0 0 0
252 f1cb63222be4095f 69 0 0 0 0 0 0 0
253 a932eb8f69f2b8ca 69 0 0 0 0 0 0 0
254 4b5760eb3b08e118 69 0 0 0 0 0 0 0
255 afa60b29df7c3a70 70 0 0 0 0 0 0 0
256 6fb34aa978a45614 70 0 0 0 0 0 0 0
257 9a28cd5f56a5cc72 70 0 0 0 0 0 0 0
258 ebfeabc733bf4234 70 0 0 0 0 0 0 0
259 92570c3056a8cd23 70 0 0 0 0 0 0 0
260 890cf986d5f53f48 70 0 0 0 0 0 0 0
261 dd24c4195b19c46a 71 0 0 0 0 0 0 0
262 1b011fb48cc32582 71 0 0 0 0 0 0 0
263 e770f5858603778e 71 0 0 0 0 0 0 0
264 66f8c1f6e6be6a31 71 0 0 0 0 0 0 0
265 1fe1cf913cd7a52a 71 0 0 0 0 0 0 0
266 9f4ef9e3e968af4f 71 0 0 0 0 0 0 0
267 1e3ae33b56d5d3ac 71 0 0 0 0 0 0 0
268 9fb762ad5c1987f0 71 0 0 0 0 0 0 0
269 c1c8ce4828af0bd6 71 0 0 0 0 0 0 0
270 4be65305f6e5e35a 72 0 0 0 0 0 0 0
271 78c92042a883cd17 72 0 0 0 0 0 0 0
272 8a63b0e311979604 72 0 0 0 0 0 0 0
273 3c7175fc1fdf7565 72 0 0 0 0 0 0 0
274 8ebeb48f2b2217b1 72 0 0 0 0 0 0 0
275 6c98cdde27bfa9e3 72 0 0 0 0 0 0 0
276 2afccfa114e59942 72 0 0 0 0 0 0 0
277 8c4ea7394f287a03 73 0 0 0 0 0 0 0
278 f7c84494e17df193 73 0 0 0 0 0 0 0
279 91149303dd80c3ae 74 0 0 0 0 0 0 0
280 1d921b1bd5427c04 75 0 0 0 0 0 0 0
281 743ec8a2658d392c 75 0 0 0 0 0 0 0
282 9ea1ebc89f9356ae 75 0 0 0 0 0 0 0
283 7ae36c6cd1009377 75 0 0 0 0 0 0 0
284 ebba42c119c02aa0 75 0 0 0 0 0 0 0
285 8b9b1057396a57ac 75 0 0 0 0 0 0 0
286 e18c65621bea6c2d 75 0 0 0 0 0 0 0
287 5827cf66b8c301df 75 0 0 0 0 0 0 0
288 41cbd2bce9bcd47a 75 0 0 0 0 0 0 0
289 8ec4044757453ae0 75 0 0 0 0 0 0 0
290 81ba75b76cf9b4a3 75 0 0 0 0 0 0 0
291 7e489a18da515669 75 0 0 0 0 0 0 0
292 30e1364912172a97 75 0 0 0 0 0 0 0
293 75ef8e7d7eaf5120 75 0 0 0 0 0 0 0
294 ccb21f0079e219b3 76 0 0 0 0 0 0 0
295 fd9e9835f3d8671b 76 0 0 0 0 0 0 0
296 b67f96f5bfbe9482 78 0 0 0 0 0 0 0
297 5ddea488ef3e51d4 78 0 0 0 0 0 0 0
298 d58657d169b022ef 78 0 0 0 0 0 0 0
299 90bb9c97d297060a 78 0 0 0 0 0 0 0
300 c68440af13901a84 79 0 0 0 0 0 0 0
301 14a1a057dd88e9cf 80 0 0 0 0 0 0 0
302 f77f40df66711557 80 0 0 0 0 0 0 0
303 4abdb378d96b84d3 80 0 0 0 0 0 0 0
304 73ea0b3198f074e3 80 0 0 0 0 0 0 0
305 0d453afcd4861995 80 0 0 0 0 0 0 0
306 4675d3e087cb4bef 81 0 0 0 0 0 0 0
307 51c5dde037f11c54 81 0 0 0 0 0 0 0
308 76a92a99b895ba9f 82 0 0 0 0 0 0 0
309 04859b1ac9aeb5f7 82 0 0 0 0 0 0 0
310 03113037225058ce 82 0 0 0 0 0 0 0
311 e3032d139053d869 82 0 0 0 0 0 0 0
312 b5fa65c30d50e7a8 82 0 0 0 0 0 0 0
313 b933f8722926bfb6 82 0 0 0 0 0 0 0
314 46c11d72d5106f60 82 0 0 0 0 0 0 0
315 d2083bd08d4d932e 82 0 0 0 0 0 0 0
316 2bdbb6d055c592e1 83 0 0 0 0 0 0 0
317 a6e9652f61eec97d 83 0 0 0 0 0 0 0
318 b5fafae2b284918d 83 0 0 0 0 0 0 0
319 608d82ec7f27b03d 83 0 0 0 0 0 0 0
320 f8a3e454b0998cc4 83 0 0 0 0 0 0 0
321 983316b8268a4699 83 0 0 0 0 0 0 0
322 fa733a19b349cf1d 83 0 0 0 0 0 0 0
323 81d9977b5c34a952 83 0 0 0 0 0 0 0
324 cadf5bdd2e65639e 83 0 0 0 0 0 0 0
325 d6ed9c7785bb652f 83 0 0 0 0 0 0 0
326 af4b438b42fe6983 83 0 0 0 0 0 0 0
327 2135777c9b19a413 83 0 0 0 0 0 0 0
328 babc5959535651fd 83 0 0 0 0 0 0 0
329 7fb6dcc49538558e 84 0 0 0 0 0 0 0
330 df7501ffeadd77da 85 0 0 0 0 0 0 0
331 c4a0d6b342f6c735 85 0 0 0 0 0 0 0
332 28be712e73483cf1 86 0 0 0 0 0 0 0
333 10c1e77ce6a70bc1 86 0 0 0 0 0 0 0
334 57d45056c45587e8 86 0 0 0 0 0 0 0
335 12a91cfe70cacd69 86 0 0 0 0 0 0 0
336 1bad1ec28a7b6281 86 0 0 0 0 0 0 0
337 684af92d700e1f92 86 0 0 0 0 0 0 0
338 df5347581ca1a38d 86 0 0 0 0 0 0 0
339 6f7abf5cdfceb288 86 0 0 0 0 0 0 0
340 4823228e9be01245 86 0 0 0 0 0 0 0
341 a946645546e5821a 86 0 0 0 0 0 0 0
342 2bbe957d8e59edad 86 0 0 0 0 0 0 0
343 df4f2687ebaaf506 86 0 0 0 0 0 0 0
344 fb1d56670328adcc 86 0 0 0 0 0 0 0
345 7afa8a01cc7fb6e1 86 0 0 0 0 0 0 0
346 c9606ab14e0bd4ec 86 0 0 0 0 0 0 0
347 d16257d75759432f 86 0 0 0 0 0 0 0
348 dbd593580fbb7b2f 87 0 0 0 0 0 0 0
349 47197879d519049b 87 0 0 0 0 0 0 0
350 7b01cde5eb0218ed 87 0 0 0 0 0 0 0
351 cb70f376b899572e 87 0 0 0 0 0 0 0
352 61cfdb743fc35ff2 88 0 0 0 0 0 0 0
353 a027e09df623a859 88 0 0 0 0 0 0 0
354 85ffedd936bb014c 88 0 0 0 0 0 0 0
355 3c479d132bca1760 89 0 0 0 0 0 0 0
356 c3b3aaf90b27b1d1 89 0 0 0 0 0 0 0
357 21b922e0640d4f2e 90 0 0 0 0 0 0 0
358 91f264def9fa63c7 90 0 0 0 0 0 0 0
359 2da65614fff3902e 90 0 0 0 0 0 0 0
360 9cac5f58985363f3 90 0 0 0 0 0 0 0
361 122014927961ca44 90 0 0 0 0 0 0 0
362 3e1f16f699a70902 91 0 0 0 0 0 0 0
363 c47a88b004bf2710 91 0 0 0 0 0 0 0
364 bbd04d7d9f2d6651 90 4 0 0 0 0 0 0
365 d42498a84253b654 90 4 0 0 0 0 0 0
366 5eb906388adcf8e2 90 4 0 0 0 0 0 0
367 d4cbeeec5bcff2c8 90 4 0 0 0 0 0 0
368 5563a949368b603b 91 4 0 0 0 0 0 0
369 515d66d87482670a 91 4 0 0 0 0 0 0
370 f9c3ae904a62d76c 91 4 0 0 0 0 0 0
371 26ec251a78caf38f 91 4 0 0 0 0 0 0
372 2fcdbc127c87f96e 91 4 0 0 0 0 0 0
373 fb3f29c6b18c17a6 91 4 0 0 0 0 0 0
374 6269e574ace3a5a5 92 4 0 0 0 0 0 0
375 f7c087db5f4405db 92 4 0 0 0 0 0 0
376 37b355707de841ba 93 4 0 0 0 0 0 0
377 dfdee420dbfa8d6e 93 4 0 0 0 0 0 0
378 2328687d2f02a598 93 4 0 0 0 0 0 0
379 fc02f3c399d03aca 93 4 0 0 0 0 0 0
380 d61b26e00be55951 93 4 0 0 0 0 0 0
381 f8dd3601a1faf516 93 4 0 0 0 0 0 0
382 14282a7aae6c5024 93 4 0 0 0 0 0 0
383 eff619d568c244db 94 4 0 0 0 0 0 0
384 a02b4c639820d2bf 94 4 0 0 0 0 0 0
385 888d1bc21c5a941e 94 4 0 0 0 0 0 0
386 443b97957aa0350c 94 4 0 0 0 0 0 0
387 14860aa6f30c61e7 94 4 0 0 0 0 0 0
388 ab7cddee6a0704f8 94 4 0 0 0 0 0 0
389 bf992007d60b1ef4 94 4 0 0 0 0 0 0
390 79601c3c7e259cdb 94 4 0 0 0 0 0 0
391 99f0f93ac8b17299 94 4 0 0 0 0 0 0
392 27b2ebb30bbbfe35 94 4 0 0 0 0 0 0
393 d118e8beda7863ea 94 4 0 0 0 0 0 0
394 54afd2c0b0f46875 94 4 0 0 0 0 0 0
395 4b035cf8659ac997 94 4 0 0 0 0 0 0
396 2621fa331177f05e 94 4 0 0 0 0 0 0
397 af880df4562beaa9 94 4 0 0 0 0 0 0
398 874595dc71ece127 94 4 0 0 0 0 0 0
399 f1b33c0f91cd604a 94 4 0 0 0 0 0 0
400 8afd78e1845b450d 94 4 0 0 0 0 0 0
401 d4a52ebddaf018c5 94 4 0 0 0 0 0 0
402 ec4ce27717753aea 94 4 0 0 0 0 0 0
403 e68bd9cdf68943e4 95 4 0 0 0 0 0 0
404 376cbfde3c8ffd06 95 4 0 0 0 0 0 0
405 2daa0ccc4de95041 95 4 0 0 0 0 0 0
406 d10c80993e835a17 95 4 0 0 0 0 0 0
407 ec483a51209bd56a 95 4 0 0 0 0 0 0
408 30b9ab87b1699886 95 4 0 0 0 0 0 0
409 55be18ec1c3bd221 95 4 0 0 0 0 0 0
410 c23fa9bead730b5a 95 4 0 0 0 0 0 0
411 cdee95f201ba9b45 95 4 0 0 0 0 0 0
412 4e6d516484e7f78d 96 4 0 0 0 0 0 0
413 74b48a3e085ea331 96 4 0 0 0 0 0 0
414 41ab7f793a92ade6 96 4 0 0 0 0 0 0
415 a3ba71b9064e85b8 97 4 0 0 0 0 0 0
416 9f3fffcdd2220ea5 97 4 0 0 0 0 0 0
417 1c8a13345558bd86 97 4 0 0 0 0 0 0
418 cebad15a677560a9 98 4 0 0 0 0 0 0
419 e5169ae7d1cc1573 98 4 0 0 0 0 0 0
420 f186f9f737b376b4 98 4 0 0 0 0 0 0
421 8b373c8936b2f8ff 98 4 0 0 0 0 0 0
422 1aea88681db88bd6 98 4 0 0 0 0 0 0
423 4acfd7f44ef51b4e 98 4 0 0 0 0 0 0
424 7c5cf5e9e76efbc1 97 4 0 0 0 0 0 0
425 a298e0daa25c33c4 97 4 0 0 0 0 0 0
426 7d481703c4ba6fda 97 4 0 0 0 0 0 0
427 24128e1144fc06f7 97 4 0 0 0 0 0 0
428 a601411b5aff010d 97 4 0 0 0 0 0 0
429 daf700303de577a3 97 4 0 0 0 0 0 0
430 14a102bb05e2749f 97 4 0 0 0 0 0 0
431 af75a51da116e8fe 97 4 0 0 0 0 0 0
432 7a0616bd3092afbc 97 4 0 0 0 0 0 0
433 9037b1a9ad2022c3 98 4 0 0 0 0 0 0
434 9380f8f28637a07b 98 4 0 0 0 0 0 0
435 4d94f8db37da80e7 98 4 0 0 0 0 0 0
436 d8df6981d24f013c 98 4 0 0 0 0 0 0
437 5f8a4d91c505f962 99 4 0 0 0 0 0 0
438 e7397bcaa6272007 99 4 0 0 0 0 0 0
439 ba8ef0327ba42d5a 99 4 0 0 0 0 0 0
440 d1dc41b19861366e 99 4 0 0 0 0 0 0
441 86bf1aa0bb839993 99 4 0 0 0 0 0 0
442 32a1110dbddd29ce 99 4 0 0 0 0 0 0
443 bdec922b31a39bbb 99 4 0 0 0 0 0 0
444 7d50a0f664baf0e2 99 4 0 0 0 0 0 0
445 25d54a6e288befb8 99 4 0 0 0 0 0 0
446 1aa786c03965ca8d 99 4 0 0 0 0 0 0
447 5d90c981abf4b05b 100 4 0 0 0 0 0 0
448 49363d8b4e439a2f 100 4 0 0 0 0 0 0
449 def9cc786fe7ef63 100 4 0 0 0 0 0 0
450 0311ef7d9b9b7c38 100 4 0 0 0 0 0 0
451 6631538e0643d7bd 102 4 1 0 0 0 0 0
452 85b858475614de41 102 4 1 0 0 0 0 0
453 d8449887df6da94f 103 4 1 0 0 0 0 0
454 d5fbca7649f152ee 104 4 1 0 0 0 0 0
455 b473149debcf2e17 104 4 1 0 0 0 0 0
456 b1279dbe8c38bb25 104 4 1 0 0 0 0 0
457 ef219e76b0688fe8 104 4 1 0 0 0 0 0
458 5f9fc518c96cee1d 104 4 1 0 0 0 0 0
459 b32975984ab3575e 104 4 1 0 0 0 0 0
460 173a518654bc847b 104 4 1 0 0 0 0 0
461 7a24e7e7e1d99672 105 4 1 0 0 0 0 0
462 4733fcb6a2b2b6d2 105 4 1 0 0 0 0 0
463 4dffd2d6af5eabb0 106 4 1 0 0 0 0 0
464 7c2e844ad69d3daf 106 4 1 0 0 0 0 0
465 cccc965d521f31c9 106 4 1 0 0 0 0 0
466 888192a771655658 106 4 1 0 0 0 0 0
467 37fc839f96b28903 106 4 1 0 0 0 0 0
468 6f3615425736ac37 106 4 1 0 0 0 0 0
